;state;abbrev;GDP;capital;latitude;longitude
1;Alabama;AL;300152;Montgomery;32.377716;-86.300568
2;Alaska;AK;67337;Juneau;58.301598;-134.420212
3;Arizona;AZ;508344;Phoenix;33.448143;-112.096962
4;Arkansas;AR;176240;Little Rock;34.746613;-92.288986
5;California;CA;3862171;Sacramento;38.576668;-121.493629
6;Colorado;CO;520389;Denver;39.739227;-104.984856
7;Connecticut;CT;340181;Hartford;41.764046;-72.682198
8;Delaware;DE;93595;Dover;39.157307;-75.519722
9;Florida;FL;1579503;Tallahassee;30.438118;-84.281296
10;Georgia;GA;805397;Atlanta<br>;33.749027;-84.388229
11;Hawaii;HI;108023;Honolulu;21.307442;-157.857376
12;Idaho;ID;118791;Boise;43.617775;-116.199722
13;Illinois;IL;1082968;Springfield;39.798363;-89.654961
14;Indiana;IN;497036;Indianapolis;39.768623;-86.162643
15;Iowa;IA;248923;Des Moines;41.591087;-93.603729
16;Kansas;KS;226012;Topeka;39.048191;-95.677956
17;Kentucky;KY;277747;Frankfort;38.186722;-84.875374
18;Louisiana;LA;309601;Baton Rouge;30.457069;-91.187393
19;Maine;ME;91081;Augusta;44.307167;-69.781693
20;Maryland;MD;512280;Annapolis;38.978764;-76.490936
21;Massachusetts;MA;733860;Boston;42.358162;-71.063698
22;Michigan;MI;658992;Lansing;42.733635;-84.555328
23;Minnesota;MN;471820;St. Paul;44.955097;-93.102211
24;Mississippi;MS;146401;Jackson;32.303848;-90.182106
25;Missouri;MO;422306;Jefferson City;38.579201;-92.172935
26;Montana;MT;70560;Helena;46.585709;-112.018417
27;Nebraska;NE;178421;Lincoln;40.808075;-96.699654
28;Nevada;NV;239398;Carson City;39.163914;-119.766121
29;New Hampshire;NH;111102;Concord;43.206898;-71.537994
30;New Jersey;NJ;799305;Trenton;40.220596;-74.769913
31;New Mexico;NM;130202;Santa Fe;35.68224;-105.939728
32;New York;NY;2152262;Albany;42.652843;-73.757874
33;North Carolina;NC;766919;Raleigh;35.78043;-78.639099
34;North Dakota;ND;74113;Bismarck;46.82085;-100.783318
35;Ohio;OH;872748;Columbus;39.961346;-82.999069
36;Oklahoma;OK;254134;Oklahoma City;35.492207;-97.503342
37;Oregon;OR;316461;Salem;44.938461;-123.030403
38;Pennsylvania;PA;965067;Harrisburg;40.264378;-76.883598
39;Rhode Island;RI;77322;Providence;41.830914;-71.414963
40;South Carolina;SC;322259;Columbia;34.000343;-81.033211
41;South Dakota;SD;72421;Pierre;44.367031;-100.346405
42;Tennessee;TN;523240;Nashville;36.16581;-86.784241
43;Texas;TX;2563508;Austin;30.27467;-97.740349
44;Utah;UT;272586;Salt Lake City;40.777477;-111.888237
45;Vermont;VT;43130;Montpelier;44.262436;-72.580536
46;Virginia;VA;707085;Richmond;37.538857;-77.43364
47;Washington;WA;801515;Olympia;47.035805;-122.905014
48;West Virginia;WV;99511;Charleston;38.336246;-81.612328
49;Wisconsin;WI;413967;Madison;43.074684;-89.384445
50;Wyoming;WY;50172;Cheyenne;41.140259;-104.820236
